T_exp,P,AM,S,R,EA,T_atm
0.25,2500000000.0,119.0485,0.501840673052732,1.805,58.35,0
0.6,1090000000.0,123.155,0.692402189108911,1.33972431077694,150.25,0
1.0,2500000000.0,79.86415,1.33592611571673,1.5532,51.5075,17
5.9,63200000000.0,121.392666666667,0.981323265819471,1.4075,108.933333333333,1
29.0,2800000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
29.0,2500000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
17.0,160000000000.0,32.065,0.0,0.87,201.5,14
51.0,5600000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
92.0,8000000000.0,53.71397,0.0531442701730917,1.11,64.75,3
1.4,9000000000.0,67.4025,0.678373316815239,1.295,106.85,40
17.5,2700000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
9.0,4800000000.0,26.01893596,1.09501015847372,1.39666666666667,77.8,7
30.0,2500000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
1.6,2500000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
30.0,2500000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
30.0,2500000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
2.1,2100000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
0.1,2650000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
0.45,910000000.0,64.4994666666667,0.737672356714465,1.32043956043956,109.066666666667,11
5.0,2500000000.0,104.678616666667,1.03023184563647,1.7375,65.0333333333333,4
6.0,1970000000.0,104.678616666667,1.03023184563647,1.7375,65.0333333333333,4
5.0,2000000000.0,104.678616666667,1.03023184563647,1.7375,65.0333333333333,4
2.1,2000000000.0,110.368358333333,0.628949755527614,1.845,46.7666666666667,1
1.2,900000000.0,65.9295,0.652938629407297,1.05,78.3666666666667,2
1.8,9000000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
3.0,25000000000.0,39.24136,0.443261590761281,1.3475,41.4333333333333,4
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
35.0,700000000.0,132.9054519,0.0,2.98,47.0,1
6.0,2610000000.0,86.1452714285714,1.61566258557118,1.63428571428571,53.9857142857143,89
24.0,10000000000.0,57.4581,0.334896034321695,1.2,133.3,1
37.0,6000000000.0,67.4025,0.678373316815239,1.295,106.85,40
6.0,4000000000.0,56.8300275333333,1.26171654161925,1.3005000000000002,115.45,34
203.0,155000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
0.095,65000000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
13.0,81000000000.0,18.0381344,0.882646348703403,1.03933333333333,119.733333333333,16
2.2,1630000000.0,110.7555478,1.19741217783365,1.31416666666667,132.84,10
8.0,8000000000.0,67.4025,0.678373316815239,1.295,106.85,40
26.2,2000000000.0,79.6459,0.72905136978295,1.0030337078651699,90.8333333333333,0
36.7,8900000000.0,67.4025,0.678373316815239,1.295,106.85,40
8.5,10000000000.0,92.90638,0.0,1.98,87.6,8
120.0,2000000000.0,57.335882,1.14811136873213,1.2586057692307702,72.6,32
203.0,175000000000.0,32.065,0.0,0.87,201.5,14
35.0,6000000000.0,67.4025,0.678373316815239,1.295,106.85,40
6.0,50000000.0,57.905562,1.17367326719476,1.267125,91.86,3
35.0,1850000000.0,57.905562,1.17367326719476,1.267125,91.86,3
24.0,10000000000.0,57.4581,0.334896034321695,1.2,133.3,1
1.91,910000000.0,120.451333333333,0.781951983587679,1.62454545454545,45.7,0
20.0,115000000000.0,88.89,1.01576336892115,1.526,60.7433333333333,1
0.000325,115000000000.0,6.941,0.0,1.67,61.1,0
1.17,6100000000.0,26.9815386,0.0,1.18,44.0,1
8.6,1400000.0,125.335933333333,0.657836312781674,1.57666666666667,62.4333333333333,4
8.5,8900000000.0,67.338826256,1.32229522552455,1.4982,55.0,25
24.0,10000000000.0,57.4581,0.334896034321695,1.2,133.3,1
40.0,7000000000.0,65.3044933333333,0.999862047138231,1.41,100.733333333333,8
89.0,1000000000.0,67.4025,0.678373316815239,1.295,106.85,40
37.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
37.0,7000000000.0,36.6669206666667,0.518663686406704,1.5534999999999999,86.5666666666667,16
89.0,1000000000.0,65.3044933333333,0.999862047138231,1.41,100.733333333333,8
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
36.0,4000000000.0,50.61935,0.643753990450334,1.24510204081633,79.5333333333333,11
6.0,2750000000.0,45.9149206666667,0.39753447331364,1.528875,58.0333333333333,9
37.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
37.0,4200000000.0,49.40425,0.514150663866223,1.75,30.6,4
27.0,3200000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
43.0,4000000000.0,71.477956,0.481215719495088,1.8333333333333302,37.05,10
8.0,11000000000.0,45.9149206666667,0.39753447331364,1.528875,58.0333333333333,9
12.0,500000000.0,56.9482,0.98360648414063,1.4680000000000002,33.5233333333333,11
32.0,1000000000.0,63.08445,1.32683175647976,1.46747126436782,115.9,22
53.0,18000000000.0,79.077474,1.1342239617873,1.25706666666667,79.62,13
34.0,4000000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
22.0,2000000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
30.0,1000000000.0,78.3164206666667,1.05751330530328,1.365,95.5,1
27.0,2600000000.0,67.4025,0.678373316815239,1.295,106.85,40
13.0,690000000.0,56.9482,0.98360648414063,1.4680000000000002,33.5233333333333,11
29.0,4500000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
26.0,4000000000.0,71.4178675,1.16709376132578,1.3137662337662301,72.175,25
14.0,10000000000.0,57.4581,0.334896034321695,1.2,133.3,1
31.0,3000000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
33.0,1500000000.0,16.9690666666667,0.62338452366947,0.9878,106.233333333333,1
2.0,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
26.0,9000000000.0,77.4375175,1.13665643928831,1.468286,37.5175,44
41.0,10000000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
2.2,1630000000.0,91.48215,1.12704043108262,1.4653631578947401,76.8425,9
37.0,9000000000.0,67.4025,0.678373316815239,1.295,106.85,40
6.0,1050000000.0,16.9690666666667,0.62338452366947,0.9878,106.233333333333,1
30.0,2800000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
0.6,1200000000.0,123.155,0.692402189108911,1.33972431077694,150.25,0
203.0,155000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
